model,graph,tau,alpha,val_mse,mse,mae,directional_accuracy,sharpe_proxy_no_tc
ridge_own,none,1,1.0,1.5039651746207028e-09,2.9369446874483174e-09,1.8483575331629254e-05,0.5996566255657875,0.22093504667282104
lasso_own,none,1,1e-06,1.500860546954641e-09,2.9290028180639638e-09,1.7254898921237327e-05,0.602309973466521,0.22587580978870392
graph_linear_ridge,return_abs,1,1.0,1.5011599741043824e-09,2.945914845398079e-09,1.9274724763818085e-05,0.6049633213672546,0.22693465650081635
graph_linear_ridge,ofi_abs,1,1.0,1.5018097876406955e-09,2.9433686599134035e-09,1.9076274838880636e-05,0.6035586077727485,0.2264930009841919
graph_linear_ridge,cross_ofi_abs,1,1.0,1.5014350873698845e-09,2.9471427520633142e-09,1.915892426040955e-05,0.6034025284844701,0.22685743868350983
graph_linear_ridge,return_abs_mask,1,1.0,1.5011690779331843e-09,2.9470568208012082e-09,1.9306924514239654e-05,0.6055876385203683,0.22580979764461517
graph_linear_ridge,ofi_abs_mask,1,1.0,1.5015449994493224e-09,2.944314569930384e-09,1.9119253920507617e-05,0.6005931012954581,0.22605441510677338
graph_linear_ridge,cross_ofi_abs_mask,1,1.0,1.5012333598463101e-09,2.9486697528113837e-09,1.9208637240808457e-05,0.6055876385203683,0.22599565982818604
ridge_own,none,2,0.001,3.072819998450882e-09,5.919288170730397e-09,3.1597148336004466e-05,0.5998171289241085,0.26902320981025696
lasso_own,none,2,1e-06,3.0732894007456935e-09,5.906477529293852e-09,3.0544841138180345e-05,0.5992075586711368,0.27660438418388367
graph_linear_ridge,return_abs,2,0.001,3.064712705835859e-09,5.938356473222939e-09,3.303751873318106e-05,0.5958549222797928,0.2698880136013031
graph_linear_ridge,ofi_abs,2,1.0,3.0677884677032807e-09,5.905135491701685e-09,3.231069422326982e-05,0.598902773544651,0.27756431698799133
graph_linear_ridge,cross_ofi_abs,2,0.001,3.0673956707971683e-09,5.9382299077981315e-09,3.263669350417331e-05,0.5969724677435742,0.2675246596336365
graph_linear_ridge,return_abs_mask,2,0.001,3.0656659433248024e-09,5.941882541549148e-09,3.313144770800136e-05,0.5973788479122218,0.26911577582359314
graph_linear_ridge,ofi_abs_mask,2,1.0,3.067589071648058e-09,5.904741584572548e-09,3.239026773371734e-05,0.6011378644722137,0.27720168232917786
graph_linear_ridge,cross_ofi_abs_mask,2,0.001,3.067337717155283e-09,5.938740166300249e-09,3.271436435170472e-05,0.5975820379965457,0.2669198513031006
ridge_own,none,10,0.001,1.6610201214461995e-08,3.177272489551797e-08,0.000104436170659028,0.5817156862745098,0.36157071590423584
lasso_own,none,10,1e-06,1.6610552933116196e-08,3.162533701583925e-08,0.00010341544839320704,0.582843137254902,0.38176244497299194
graph_linear_ridge,return_abs,10,10.0,1.6546549019835766e-08,3.174985607756753e-08,0.00010726865730248392,0.5751960784313725,0.34796851873397827
graph_linear_ridge,ofi_abs,10,1.0,1.6596846563743384e-08,3.180219110276994e-08,0.00010621341789374128,0.5752941176470588,0.35056453943252563
graph_linear_ridge,cross_ofi_abs,10,0.001,1.6596183982642287e-08,3.19800221859623e-08,0.00010679811384761706,0.5737745098039215,0.3350106477737427
graph_linear_ridge,return_abs_mask,10,10.0,1.6549503101259688e-08,3.1745219786216694e-08,0.0001074067477020435,0.5763725490196079,0.34509485960006714
graph_linear_ridge,ofi_abs_mask,10,1.0,1.6589762452667856e-08,3.1775549302892614e-08,0.00010636066144797951,0.5766666666666667,0.349289208650589
graph_linear_ridge,cross_ofi_abs_mask,10,0.001,1.659078741056419e-08,3.195943421019365e-08,0.00010696535900933668,0.5762745098039216,0.3366677165031433
ridge_own,none,20,0.001,3.5159381184257654e-08,6.546137854002154e-08,0.00016681152919773012,0.5672244897959183,0.3387051522731781
lasso_own,none,20,1e-06,3.5159139599727496e-08,6.521144513271793e-08,0.00016574513574596494,0.5696734693877551,0.3541615605354309
graph_linear_ridge,return_abs,20,10.0,3.511008372925062e-08,6.607817937265281e-08,0.0001720526342978701,0.5513877551020409,0.3139682412147522
graph_linear_ridge,ofi_abs,20,10.0,3.52569244910228e-08,6.580933842315062e-08,0.00017013704928103834,0.5577142857142857,0.3264687955379486
graph_linear_ridge,cross_ofi_abs,20,0.001,3.518027824611636e-08,6.635934113319308e-08,0.00017091931658796966,0.5495918367346939,0.2938447892665863
graph_linear_ridge,return_abs_mask,20,10.0,3.511561885716219e-08,6.609027281001545e-08,0.00017219127039425075,0.5511428571428572,0.3096042573451996
graph_linear_ridge,ofi_abs_mask,20,10.0,3.524964142798126e-08,6.582507694474771e-08,0.00017038061923813075,0.5593877551020409,0.32107415795326233
graph_linear_ridge,cross_ofi_abs_mask,20,0.001,3.51652893471055e-08,6.644768291153014e-08,0.0001713090023258701,0.5493469387755102,0.28817299008369446
