tau,model,graph,rho_x_train,r_adv,val_mse,clean_mse,clean_da,clean_sharpe_proxy,sensitivity_X,eval_rho_0.05_mse,eval_rho_0.05_deg_mse,eval_rho_0.05_deg_da,eval_rho_0.10_mse,eval_rho_0.10_deg_mse,eval_rho_0.10_deg_da
1,graph_linear_sgd_erm,return_abs,0.0,1,1.0174561282383365e-07,1.7478335223586328e-07,0.5578273763071641,0.1477181762456894,7.952620020845735e-10,1.7478335223586328e-07,0.0,0.0,1.7478335223586328e-07,0.0,0.0
1,graph_linear_feature_pgda,return_abs,0.05,1,1.0464332689252842e-07,1.7977500021970627e-07,0.5578273763071641,0.1477181762456894,8.064986040112743e-10,1.7977500021970627e-07,0.0,0.0,1.7977500021970627e-07,0.0,0.0
1,graph_linear_feature_pgda,return_abs,0.05,3,1.25923278915252e-07,2.1644191861014406e-07,0.5578273763071641,0.1477181762456894,8.85352409440987e-10,2.1644191861014406e-07,0.0,0.0,2.1644191861014406e-07,0.0,0.0
1,graph_linear_feature_pgda,return_abs,0.1,1,1.2261969573046372e-07,2.1074856704217382e-07,0.5578273763071641,0.1477181613445282,8.726584593832243e-10,2.1074856704217382e-07,0.0,0.0,2.1074856704217382e-07,0.0,0.0
1,graph_linear_feature_pgda,return_abs,0.1,3,1.0725948840217825e-07,1.8428193016006844e-07,0.5578273763071641,0.1477181762456894,8.171372190002302e-10,1.8428193016006844e-07,0.0,0.0,1.8428193016006844e-07,0.0,0.0
1,graph_linear_feature_pgda,return_abs,0.2,1,1.4056107033866283e-07,2.4167229639715515e-07,0.5578273763071641,0.1477181762456894,9.346822829603418e-10,2.4167229639715515e-07,0.0,0.0,2.4167229639715515e-07,0.0,0.0
1,graph_linear_feature_pgda,return_abs,0.2,3,1.4035087758657028e-07,2.4130997644533636e-07,0.5578273763071641,0.1477181762456894,9.336238518398154e-10,2.4130997644533636e-07,0.0,0.0,2.4130997644533636e-07,0.0,0.0
2,graph_linear_sgd_erm,return_abs,0.0,1,2.546920825352572e-07,4.357112004527153e-07,0.5610078228182465,0.18022023141384125,2.7728406237770287e-09,4.357112004527153e-07,0.0,0.0,4.357112004527153e-07,0.0,0.0
2,graph_linear_feature_pgda,return_abs,0.05,1,2.674732400009816e-07,4.576759522478824e-07,0.5610078228182465,0.18022024631500244,2.83743270546033e-09,4.576759522478824e-07,0.0,0.0,4.576759522478824e-07,0.0,0.0
2,graph_linear_feature_pgda,return_abs,0.05,3,1.7406155450316874e-07,2.972384152144514e-07,0.5610078228182465,0.18022024631500244,2.2910529307029748e-09,2.972384152144514e-07,0.0,0.0,2.972384152144514e-07,0.0,0.0
2,graph_linear_feature_pgda,return_abs,0.1,1,1.7686680564565904e-07,3.020527401531581e-07,0.5610078228182465,0.18022024631500244,2.312143823623991e-09,3.020527401531581e-07,0.0,0.0,3.020527401531581e-07,0.0,0.0
2,graph_linear_feature_pgda,return_abs,0.1,3,2.6651409257283376e-07,4.560275499443378e-07,0.5610078228182465,0.18022024631500244,2.8366775595145555e-09,4.560275499443378e-07,0.0,0.0,4.560275499443378e-07,0.0,0.0
2,graph_linear_feature_pgda,return_abs,0.2,1,2.2010407008110633e-07,3.7628873883477354e-07,0.5610078228182465,0.18022024631500244,2.578091490290646e-09,3.7628873883477354e-07,0.0,0.0,3.7628873883477354e-07,0.0,0.0
2,graph_linear_feature_pgda,return_abs,0.2,3,2.056818289020157e-07,3.5152024224771594e-07,0.5610078228182465,0.18022024631500244,2.4929067699019924e-09,3.5152024224771594e-07,0.0,0.0,3.5152024224771594e-07,0.0,0.0
10,graph_linear_sgd_erm,return_abs,0.0,1,1.5367608057204052e-06,2.5837334760581143e-06,0.5500980392156862,0.22734996676445007,2.870086812656325e-08,2.5837334760581143e-06,0.0,0.0,2.5837334760581143e-06,0.0,0.0
10,graph_linear_feature_pgda,return_abs,0.05,1,1.2261879192010383e-06,2.059164899037569e-06,0.5500980392156862,0.22734995186328888,2.5639308454117327e-08,2.059164899037569e-06,0.0,0.0,2.059164899037569e-06,0.0,0.0
10,graph_linear_feature_pgda,return_abs,0.05,3,1.8622589550432167e-06,3.1338981898443308e-06,0.5500980392156862,0.22734995186328888,3.167058504338627e-08,3.1338981898443308e-06,0.0,0.0,3.1338981898443308e-06,0.0,0.0
10,graph_linear_feature_pgda,return_abs,0.1,1,1.7930326521309325e-06,3.016862592630787e-06,0.5500980392156862,0.22734996676445007,3.104727763769688e-08,3.016862592630787e-06,0.0,0.0,3.016862592630787e-06,0.0,0.0
10,graph_linear_feature_pgda,return_abs,0.1,3,1.040875190483348e-06,1.7463964923081221e-06,0.5500980392156862,0.22734996676445007,2.3594469933385653e-08,1.7463964923081221e-06,0.0,0.0,1.7463964923081221e-06,0.0,0.0
10,graph_linear_feature_pgda,return_abs,0.2,1,1.6260891015917878e-06,2.73468367595342e-06,0.5500980392156862,0.22734996676445007,2.9564917625179987e-08,2.73468367595342e-06,0.0,0.0,2.73468367595342e-06,0.0,0.0
10,graph_linear_feature_pgda,return_abs,0.2,3,1.5069267647049855e-06,2.5333249595860252e-06,0.5500980392156862,0.22734995186328888,2.8418327691071e-08,2.5333249595860252e-06,0.0,0.0,2.5333249595860252e-06,0.0,0.0
20,graph_linear_sgd_erm,return_abs,0.0,1,1.8121331777365413e-06,2.9652730972884456e-06,0.5433469387755102,0.20161613821983337,5.3172105385357327e-08,2.9652730972884456e-06,0.0,0.0,2.9652730972884456e-06,0.0,0.0
20,graph_linear_feature_pgda,return_abs,0.05,1,2.237992930531618e-06,3.666280463221483e-06,0.5433469387755102,0.20161615312099457,5.900755750687381e-08,3.666280463221483e-06,0.0,0.0,3.666280463221483e-06,0.0,0.0
20,graph_linear_feature_pgda,return_abs,0.05,3,2.1242099137452897e-06,3.4789254641509615e-06,0.5433469387755102,0.20161615312099457,5.758567445113272e-08,3.4789254641509615e-06,0.0,0.0,3.4789254641509615e-06,0.0,0.0
20,graph_linear_feature_pgda,return_abs,0.1,1,2.719493522818084e-06,4.459496722120093e-06,0.5433469387755102,0.20161615312099457,6.519944140137568e-08,4.459496722120093e-06,0.0,0.0,4.459496722120093e-06,0.0,0.0
20,graph_linear_feature_pgda,return_abs,0.1,3,2.2246163098316174e-06,3.644252728918218e-06,0.5433469387755102,0.20161615312099457,5.88972297599355e-08,3.644252728918218e-06,0.0,0.0,3.644252728918218e-06,0.0,0.0
20,graph_linear_feature_pgda,return_abs,0.2,1,1.8399503005639417e-06,3.0110436455288436e-06,0.5433469387755102,0.20161615312099457,5.34384207995231e-08,3.0110436455288436e-06,0.0,0.0,3.0110436455288436e-06,0.0,0.0
20,graph_linear_feature_pgda,return_abs,0.2,3,1.8608410528031527e-06,3.0454195893980796e-06,0.5433469387755102,0.20161615312099457,5.3784793951905385e-08,3.0454195893980796e-06,0.0,0.0,3.0454195893980796e-06,0.0,0.0
