tau,rho_g_train,r_adv,val_mse,clean_mse,clean_da,clean_sharpe,sensitivity_G,deg_mse_0.01,deg_mse_0.05,deg_mse_0.1,deg_mse_0.2,deg_da_0.1,delta_fro_0.1
1,0.0,1,1.5016887733310114e-09,2.9753772778917664e-09,0.602309973466521,0.21954163908958435,1.1034142870236519e-10,7.51620987671231e-13,3.930633596382904e-12,8.294920306184395e-12,1.834465912509131e-11,0.0012486343062275695,0.09878727793693542
1,0.05,1,1.5009401499455066e-09,2.978989499524687e-09,0.5946620883408772,0.20619811117649078,1.0272283674714333e-10,6.190603585309873e-13,3.2325253584986058e-12,6.8125505237048856e-12,1.502886703974582e-11,-0.0017168721710628665,0.09853886067867279
1,0.05,3,1.5002720177292872e-09,2.9669591228298486e-09,0.5970032776650539,0.21597963571548462,1.0339600378141134e-10,6.847855615887966e-13,3.5771385853422544e-12,7.540190694044213e-12,1.6646461986624672e-11,0.002497268612455139,0.09867193549871445
1,0.1,1,1.5025952704306178e-09,2.983846503212817e-09,0.5984079912595599,0.2119600623846054,9.497132182241519e-11,5.653255641391297e-13,2.9471980411699406e-12,6.197709012667474e-12,1.3622880601360521e-11,-0.004058061495239573,0.09839943051338196
1,0.1,3,1.5012603382658085e-09,2.9762003972422235e-09,0.5987201498361168,0.21149605512619019,1.0340727471351563e-10,6.430411758628907e-13,3.354205801997523e-12,7.0607963920110706e-12,1.5544232567776817e-11,-0.0021851100358981634,0.09858958423137665
1,0.2,1,1.5016184962135526e-09,2.9661368916578112e-09,0.6032464491961916,0.20709754526615143,9.997876029670116e-11,6.676881270095691e-13,3.483435762063891e-12,7.329914453180209e-12,1.6122436719001598e-11,0.0010925550179491372,0.09864194691181183
1,0.2,3,1.5031699218681638e-09,2.9772628806767898e-09,0.5955985640705478,0.2139769196510315,1.25232311933704e-10,9.00834962180852e-13,4.6636028372404326e-12,9.729550498605022e-12,2.1077362077903672e-11,0.00046823786483529695,0.09897512197494507
2,0.0,1,3.0672626660788183e-09,5.948602943561809e-09,0.5935182363100681,0.26874488592147827,1.7558200293005255e-10,1.0267342531733448e-12,5.3868021154812595e-12,1.1401990462900358e-11,2.5339286224834723e-11,0.005384537234582987,0.09911356121301651
2,0.05,1,3.059228204094211e-09,5.939516878328277e-09,0.5960581123641167,0.26312050223350525,1.6298846430493064e-10,9.43245481721533e-13,4.936939745903146e-12,1.0431655539377971e-11,2.312416924610261e-11,0.004774966981611284,0.09903037548065186
2,0.05,3,3.057838426911985e-09,5.955125725876087e-09,0.5967692776592503,0.25673821568489075,1.6208251581162347e-10,8.824052599720744e-13,4.630518191106603e-12,9.815703805315934e-12,2.1894042134817937e-11,0.004368586812963593,0.0989622101187706
2,0.1,1,3.064435150079703e-09,5.941100500450602e-09,0.5984963933760032,0.26437613368034363,1.5225862194309658e-10,7.767120280277595e-13,4.084732552200876e-12,8.669509554692922e-12,1.9379164939437032e-11,0.0027430661383723853,0.09882906079292297
2,0.1,3,3.0634565995057983e-09,5.944409409153195e-09,0.599105963628975,0.2637079656124115,1.884532590742949e-10,1.2607692667643278e-12,6.725286993969348e-12,1.4527046232615248e-11,3.3498537277409923e-11,0.0007111652951335978,0.09924787282943726
2,0.2,1,3.0619182744828777e-09,5.922629053856099e-09,0.6019506248095093,0.2736288905143738,1.0694979906029911e-10,4.791722574282176e-13,2.5193180874794052e-12,5.357048138421305e-12,1.2016165840122994e-11,0.0021334958854007935,0.0981370285153389
2,0.2,3,3.0566345010640816e-09,5.952458081992518e-09,0.5943309966473637,0.24557451903820038,1.1997467515983962e-10,5.924150059399835e-13,3.1104008257898386e-12,6.600942015211331e-12,1.476019306778653e-11,0.010464289342680178,0.09846961498260498
10,0.0,1,1.6465449448332947e-08,3.221320454827037e-08,0.5617156862745099,0.2801193594932556,2.7927646445435883e-09,1.935518412210513e-11,1.0275158501826809e-10,2.2099655438978516e-10,5.069651365374739e-10,0.011372549019607936,0.09987958520650864
10,0.05,1,1.6490719900730255e-08,3.186092101259419e-08,0.5758333333333333,0.3339690566062927,2.4824710585791276e-09,1.41788802920928e-11,7.52002904391702e-11,1.6158807625288318e-10,3.708358065068751e-10,0.007499999999999951,0.09984865039587021
10,0.05,3,1.657212322925261e-08,3.187460961839861e-08,0.5761274509803922,0.3342892527580261,2.447129991700603e-09,1.63211666404095e-11,8.711253940418828e-11,1.8855672578865779e-10,4.3722536702262005e-10,0.006617647058823617,0.09986172616481781
10,0.1,1,1.6499431154670674e-08,3.189251884805344e-08,0.5754901960784313,0.3376471996307373,2.2927225465374512e-09,1.2612133559741778e-11,6.6673777610049e-11,1.4267698134062812e-10,3.24750004665475e-10,0.00524509803921569,0.09985879063606262
10,0.1,3,1.6484728249110958e-08,3.1831792313141705e-08,0.578578431372549,0.34074416756629944,2.2412252713432945e-09,1.2438050589480554e-11,6.579270461770648e-11,1.4092194078330067e-10,3.213358468201477e-10,0.007745098039215748,0.09985329955816269
10,0.2,1,1.651917180822693e-08,3.1792513510708886e-08,0.5776470588235294,0.3526676893234253,1.733118676350287e-09,1.1823431123048067e-11,6.273026542658044e-11,1.3463008485814498e-10,3.071178866775881e-10,0.0075980392156862475,0.09987460821866989
10,0.2,3,1.6511693345933054e-08,3.1790801102715704e-08,0.5788725490196078,0.35395294427871704,1.8544864879843637e-09,9.49995637711254e-12,4.9958259751292644e-11,1.0620127000038337e-10,2.384759056894836e-10,0.005735294117647061,0.0998615026473999
20,0.0,1,3.524985459080199e-08,6.62759305214422e-08,0.5482857142857143,0.3085477948188782,8.85256926097533e-09,5.88258330935787e-11,3.120916858279088e-10,6.709441890961898e-10,1.5393837315968995e-09,0.006979591836734689,0.09989994019269943
20,0.05,1,3.497493850090905e-08,6.599298529863518e-08,0.5484081632653062,0.29525503516197205,8.435562304232036e-09,5.1890935992560117e-11,2.753424155343964e-10,5.921165779909643e-10,1.3600853776551958e-09,0.008163265306122547,0.09989193081855774
20,0.05,3,3.504497314565924e-08,6.620320647243716e-08,0.5468979591836735,0.29661551117897034,8.528659389828164e-09,5.6360249800491147e-11,2.9955060654174304e-10,6.450946443692374e-10,1.4835208617114404e-09,0.00673469387755099,0.09990305453538895
20,0.1,1,3.492457167908469e-08,6.609283786929154e-08,0.5483265306122449,0.29078391194343567,8.01976868247678e-09,4.930456043439335e-11,2.618492089823121e-10,5.635172328766203e-10,1.2952838801538746e-09,0.008571428571428563,0.0998956635594368
20,0.1,3,3.4985784935770425e-08,6.59697718674579e-08,0.5491428571428572,0.29762402176856995,8.262085515742257e-09,4.3499426283233333e-11,2.2861001980345463e-10,4.858833335674717e-10,1.0923741911028628e-09,0.00844897959183677,0.09992211312055588
20,0.2,1,3.484499089267956e-08,6.578751055030807e-08,0.553795918367347,0.2992716431617737,7.092316955947808e-09,3.964828465541359e-11,2.106759211528697e-10,4.5366732592810877e-10,1.0437162245580112e-09,0.008693877551020468,0.09989075362682343
20,0.2,3,3.50491191625224e-08,6.567487531583538e-08,0.5560408163265306,0.3266780376434326,6.327778911963122e-09,3.731770448212046e-11,1.9797141703747911e-10,4.2527403820713516e-10,9.731380146149604e-10,0.00448979591836729,0.09990747272968292
